id,status,vote_date,vote_person,category,subject,level,do_person,goal,due_date,end_date,created_at,updated_at
95,99_Close,2017-08-20,"作村",PPC,"夢叶塾セミナー参加（懇親会も）","高","作村","セミナーと懇親会参加",2017-11-18,2017-09-25,"2017-10-22 12:31:29.254632","2017-10-22 12:31:29.254632"
96,99_Close,2017-08-21,"作村",PPC,"ワードプレスにツイッター反映","中","作村","ツイッターが反映されるか試す",2017-08-21,,"2017-10-22 12:31:29.261316","2017-10-22 12:31:29.261316"
97,99_Close,2017-08-22,"作村",PPC,"新ASPへ登録","中","作村","aspフェルマに登録",2017-08-22,,"2017-10-22 12:31:29.266736","2017-10-22 12:31:29.266736"
98,03_Pending,2017-08-24,"浅","新規事業","売上拡大のための新規事業を立ち上げる","高","浅","外注化ブログアフィリエイトが可能かどうかを判断する",2017-11-30,2017-10-31,"2017-10-22 12:31:29.273030","2017-10-22 12:32:31.506748"
99,99_Close,2017-08-29,"作村",PPC,"リボ払い残高の確認","高","作村","リボ払いの残高の確認",2017-08-29,,"2017-10-22 12:31:29.278464","2017-10-22 12:31:29.278464"
100,99_Close,2017-09-02,"作村",PPC,"ワードプレスの引用デザインを修正","中","作村","ワードプレスの引用デザインを修正",2017-09-02,,"2017-10-22 12:31:29.283939","2017-10-22 12:31:29.283939"
101,99_Close,2017-08-30,"浅",PMO,"課題管理表をより使いやすくする","中","浅","課題管理表の入力が楽になる",2017-09-10,,"2017-10-22 12:31:29.290491","2017-10-22 12:31:29.290491"
102,99_Close,2017-08-31,"吉野",PMO,"課題と計画の見直し","高","吉野","課題とタスクの再設定を行う",2017-09-02,2017-09-11,"2017-10-22 12:31:29.296067","2017-10-22 12:31:29.296067"
103,99_Close,2017-09-01,"吉野",PPC,"売上データ管理業務（9月分）","中","吉野","週１でタスクを実施する",2017-09-30,2017-09-13,"2017-10-22 12:31:29.302854","2017-10-22 12:31:29.302854"
104,99_Close,2017-09-01,"吉野","会議","会議準備（吉野9月分）","高","吉野","週次報告会の前に週次報告管理シートと会議事前資料を作成する",2017-09-30,2017-09-13,"2017-10-22 12:31:29.316253","2017-10-22 12:31:29.316253"
105,99_Close,2017-09-01,"吉野",PPC,"YDN広告の管理不足","低","吉野","YDN広告の削除・整理を実施する",2017-09-30,2017-09-13,"2017-10-22 12:31:29.330725","2017-10-22 12:31:29.330725"
106,99_Close,2017-09-02,"作村",PPC,"夢叶塾セミナー原稿作成提出","高","作村","夢と塾セミナー原稿提出",2017-09-10,,"2017-10-22 12:31:29.337479","2017-10-22 12:31:29.337479"
107,99_Close,2017-09-01,"浅","経理","会計業務","高","浅","会計データが正しく入力されている",2017-09-30,,"2017-10-22 12:31:29.342945","2017-10-22 12:31:29.342945"
108,99_Close,2017-09-05,"浅",PPC,"売上データ管理の効率化","低","浅","売上データをDBで管理している",2017-09-30,2017-09-28,"2017-10-22 12:31:29.349360","2017-10-22 12:31:29.349360"
109,99_Close,2017-09-06,"作村",PPC,"無効クリックチェック","中","作村","ASP管理画面で無効クリックの有無をチェックする。",2017-12-31,2017-09-25,"2017-10-22 12:31:29.354728","2017-10-22 12:31:29.354728"
110,99_Close,2017-09-08,"作村",PPC,"【週1】レントラックスとOceanの案件終了＆停止確認","中","作村","【週一】レントラックスとオーシャンの無効クリック確認",2017-12-31,2017-09-25,"2017-10-22 12:31:29.362767","2017-10-22 12:31:29.362767"
111,04_Invaild,2017-09-17,"作村",PPC,"新しいYahooテスト用アカウントへ広告の移動","高","作村","新しいYahooテスト用アカウントへ広告の移動が終わること",2017-09-17,,"2017-10-22 12:31:29.369446","2017-10-22 12:31:29.369446"
112,99_Close,2017-09-13,"吉野",PMO,"課題・タスク管理方法の改善","高","吉野","タスクを再設定し、ルーチンワークをカレンダーに移行する",2017-09-17,2017-09-13,"2017-10-22 12:31:29.374851","2017-10-22 12:31:29.374851"
113,99_Close,2017-09-25,"吉野",PPC,"PPC年内の目標と計画を立案","高","吉野","計画を課題とタスクに落とし込む",2017-10-02,2017-09-30,"2017-10-22 12:31:29.381115","2017-10-22 12:31:29.381115"
114,02_Inprocess,2017-09-27,"吉野",PPC,"SS商品名 利益の拡大","中","吉野","主力商品に対して、各種施策を実施する",2017-12-31,,"2017-10-22 12:31:29.386857","2017-10-22 12:31:29.386857"
115,04_Invaild,2017-09-27,"吉野",PPC,"審査落ちをなくす","高","吉野","追加商品を含めて、審査落ち広告がない状態にする",2017-12-31,2017-10-23,"2017-10-22 12:31:29.393424","2017-10-23 08:02:56.360675"
116,02_Inprocess,2017-09-27,"吉野",PPC,"YDN商品名 売れる商品を見つける","中","吉野","追加出稿を行う商品を決め、対象の全商品を出稿完了する",2017-12-31,,"2017-10-22 12:31:29.398902","2017-10-22 12:31:29.398902"
117,02_Inprocess,2017-09-27,"吉野",PPC,"YDN商品名 利益の拡大","中","吉野","全商品を主力・保留・停止に分類し、主力商品に対して各種施策を実施する",2017-12-31,,"2017-10-22 12:31:29.405259","2017-10-22 12:31:29.405259"
118,02_Inprocess,2017-09-27,"吉野",PPC,"関連キーワードで売り上げを上げる","中","吉野","9商品分検証を完了させる",2017-12-31,,"2017-10-22 12:31:29.416292","2017-10-22 12:31:29.416292"
119,02_Inprocess,2017-10-12,"浅",PMO,"課題管理表をより使いやすくする","高","浅","課題管理表をDB化して動作を速くする",2017-10-28,2017-10-22,"2017-10-22 12:31:29.423096","2017-10-23 00:14:07.517428"
120,01_Open,2017-10-24,"吉野",PPC,"PPCチャネルの拡大","中","吉野","yahoo以外の広告で利益を上げるようになる",2017-12-31,,"2017-10-24 06:55:47.710195","2017-10-24 06:55:47.710195"
